# source_id	kind	status	crystal_refs	notes
build.rs::func::main	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::find_project_root	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::format_string	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::new	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::normalize_path	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::parse_duration	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::with_indent	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::func::with_max_width	func	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::method::FormatConfig.new	method	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::struct::FormatConfig	struct	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::test::test_format_config	test	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::test::test_format_string_trailing_whitespace	test	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::test::test_normalize_path	test	skipped	-	auto-generated
docs/demos/shared/fixtures/alpha-utils.rs::test::test_parse_duration	test	skipped	-	auto-generated
docs/demos/shared/fixtures/lib-hooks.rs::func::add	func	skipped	-	auto-generated
docs/demos/shared/fixtures/lib-hooks.rs::func::multiply	func	skipped	-	auto-generated
docs/demos/shared/fixtures/lib-hooks.rs::func::subtract	func	skipped	-	auto-generated
docs/demos/shared/fixtures/lib-hooks.rs::test::test_operations	test	skipped	-	auto-generated
docs/demos/shared/fixtures/lib.rs::func::add	func	skipped	-	auto-generated
docs/demos/shared/fixtures/lib.rs::test::test_add	test	skipped	-	auto-generated
docs/demos/shared/fixtures/lib.rs::test::test_add_negative	test	skipped	-	auto-generated
src/cache.rs::func::cache_dir	func	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::func::clear_json_files	func	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::func::clear_one	func	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::func::count_json_files	func	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::func::sweep_lru	func	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_clear_json_files_counts_and_skips	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_clear_json_files_missing_dir_is_zero	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_clear_json_files_propagates_read_dir_error	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_clear_one_missing_returns_false	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_clear_one_propagates_non_not_found	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_count_json_files	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_read_corrupt_json_returns_none	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_read_write_roundtrip	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_sweep_lru_no_op_under_bound	test	partial	src/work_trees/cache.cr	auto-generated
src/cache.rs::test::test_sweep_lru_trims_oldest_entries	test	partial	src/work_trees/cache.cr	auto-generated
src/cli/config.rs::enum::ApprovalsCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::CiStatusAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigAliasCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigPluginsClaudeCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigPluginsCodexCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigPluginsCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigPluginsOpencodeCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::ConfigShellCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::DefaultBranchAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::HintsAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::LogsAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::MarkerAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::PreviousBranchAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::StateCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/config.rs::enum::VarsAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::const::HOOK_TYPE_NAMES	const	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::enum::HookCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::func::parse	func	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::func::parse_hook_type	func	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::method::HookOptions.parse	method	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::struct::HookOptions	struct	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_errors	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_explicit_var	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_flags	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_hook_type_aliases	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_literal_forward_escape	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_minimal	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_mixed	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_name_filters	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/hook.rs::test::test_parse_shorthand	test	partial	src/work_trees/cli.cr	auto-generated
src/cli/list.rs::enum::ListSubcommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/step.rs::enum::StepCommand	enum	partial	src/work_trees/cli.cr	auto-generated
src/cli/step.rs::struct::CommitArgs	struct	partial	src/work_trees/cli.cr	auto-generated
src/cli/step.rs::struct::SquashArgs	struct	partial	src/work_trees/cli.cr	auto-generated
src/command_log.rs::func::init	func	missing	-	auto-generated
src/command_log.rs::func::log_command	func	missing	-	auto-generated
src/command_log.rs::test::test_command_no_truncation_when_short	test	missing	-	auto-generated
src/command_log.rs::test::test_command_truncation_ascii	test	missing	-	auto-generated
src/command_log.rs::test::test_command_truncation_multibyte	test	missing	-	auto-generated
src/command_log.rs::test::test_json_format	test	missing	-	auto-generated
src/command_log.rs::test::test_log_command_without_init	test	missing	-	auto-generated
src/command_log.rs::test::test_null_values_for_background	test	missing	-	auto-generated
src/command_log.rs::test::test_rotation_at_size_limit	test	missing	-	auto-generated
src/command_log.rs::test::test_special_chars_in_command	test	missing	-	auto-generated
src/command_log.rs::test::test_write_appends_multiple_entries	test	missing	-	auto-generated
src/command_log.rs::test::test_write_creates_file_lazily	test	missing	-	auto-generated
src/commands/alias.rs::func::alias_names_for_suggestions	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::func::iter	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::func::parse	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::func::representative	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::func::step_alias	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::func::try_alias	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::method::AliasEntry.iter	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::method::AliasOptions.parse	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::struct::AliasOptions	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_builtin_step_commands_matches_clap	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_format_alias_announcement_concatenates_user_and_project	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_format_alias_announcement_concurrent_named	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_format_alias_announcement_mixed_named_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_format_alias_announcement_pipeline_all_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_format_alias_announcement_pipeline_named	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_format_alias_announcement_single_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_built_in_flags	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_duplicate_key_last_write_wins	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_errors	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_hyphen_canonicalization	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_key_value_routing	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_literal_forward_escape	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_mixed_pipeline	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_positionals	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_space_separated_routing	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_parse_warns_on_footgun_space_form	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_referenced_vars_for_config_unions_steps	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_render_aliases_help_section	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/alias.rs::test::test_top_level_builtins_match_clap	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_alias_commands	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_command_batch	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_commit_template_append	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_hooks	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_hooks_filtered	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_or_skip	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::approve_or_skip_with_config	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_approval.rs::func::resolve_template_for_preview	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::enum::AnnouncePolicy	enum	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::enum::FailureStrategy	enum	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::enum::PipelineKind	enum	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::enum::PreparedStep	enum	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::alias_error_wrapper	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::branch_or_head	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::build_hook_context	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::commit_generation	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::default_for	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::execute_pipeline_foreground	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::expand_shell_template	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::hook_error_wrapper	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::into_commands	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::new	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::prepare_steps	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::func::project_id	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::method::CommandContext.new	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::method::FailureStrategy.default_for	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::method::PreparedStep.into_commands	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::struct::CommandContext	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::struct::ForegroundStep	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::struct::PreparedCommand	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_handle_command_error_alias_failfast_child_process_exited	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_handle_command_error_alias_failfast_other_error	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_handle_command_error_hook_failfast_child_process_exited	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_handle_command_error_hook_failfast_non_child_worktrunk_error	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_handle_command_error_warn_continues	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_handle_command_error_warn_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::test::test_template_references_var_for_vars	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/command_executor.rs::type::ErrorWrapper	type	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::func::commit	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::func::commit_staged_changes	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::func::emit_hint_if_needed	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::func::format_message_for_display	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::func::new	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::method::CommitGenerator.new	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::method::CommitOptions.commit	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::method::CommitOptions.new	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::struct::CommitOptions	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::struct::CommitOutcome	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::test::test_format_message_for_display	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/commit.rs::test::test_format_message_for_display_empty	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/alias.rs::func::handle_alias_dry_run	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/alias.rs::func::handle_alias_show	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/alias.rs::test::test_format_entry_dry_run_pipeline	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/alias.rs::test::test_format_entry_show_pipeline	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/alias.rs::test::test_format_entry_show_single	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/approvals.rs::func::add_approvals	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/approvals.rs::func::clear_approvals	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/codex.rs::func::handle_codex_install	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/codex.rs::func::handle_codex_uninstall	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/create.rs::func::handle_config_create	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/hints.rs::func::handle_hints_clear	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/hints.rs::func::handle_hints_get	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_comment_out_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_comment_out_config_preserves_trailing_newline	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_render_ci_tool_status	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_require_user_config_path_matches_config_path	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_require_user_config_path_returns_ok	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_deprecated_in_right_config_is_skipped	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_deprecated_section_in_wrong_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_empty	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_nested	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_suggests_other_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_user_only_commit_key_redirects_to_user_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::handle_opencode_install	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::handle_opencode_uninstall	func	partial	src/work_trees/cli.cr	auto-generated
