# source_api_id	status	crystal_refs	notes
build.rs::func::main	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::find_project_root	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::format_string	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::new	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::normalize_path	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::parse_duration	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::with_indent	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::func::with_max_width	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::method::FormatConfig.new	missing	-	baseline
docs/demos/shared/fixtures/alpha-utils.rs::struct::FormatConfig	missing	-	baseline
docs/demos/shared/fixtures/lib-hooks.rs::func::add	missing	-	baseline
docs/demos/shared/fixtures/lib-hooks.rs::func::multiply	missing	-	baseline
docs/demos/shared/fixtures/lib-hooks.rs::func::subtract	missing	-	baseline
docs/demos/shared/fixtures/lib.rs::func::add	missing	-	baseline
src/cache.rs::func::cache_dir	missing	-	baseline
src/cache.rs::func::clear_json_files	missing	-	baseline
src/cache.rs::func::clear_one	missing	-	baseline
src/cache.rs::func::count_json_files	missing	-	baseline
src/cache.rs::func::sweep_lru	missing	-	baseline
src/cli/config.rs::enum::ApprovalsCommand	missing	-	baseline
src/cli/config.rs::enum::CiStatusAction	missing	-	baseline
src/cli/config.rs::enum::ConfigAliasCommand	missing	-	baseline
src/cli/config.rs::enum::ConfigCommand	missing	-	baseline
src/cli/config.rs::enum::ConfigPluginsClaudeCommand	missing	-	baseline
src/cli/config.rs::enum::ConfigPluginsCodexCommand	missing	-	baseline
src/cli/config.rs::enum::ConfigPluginsCommand	missing	-	baseline
src/cli/config.rs::enum::ConfigPluginsOpencodeCommand	missing	-	baseline
src/cli/config.rs::enum::ConfigShellCommand	missing	-	baseline
src/cli/config.rs::enum::DefaultBranchAction	missing	-	baseline
src/cli/config.rs::enum::HintsAction	missing	-	baseline
src/cli/config.rs::enum::LogsAction	missing	-	baseline
src/cli/config.rs::enum::MarkerAction	missing	-	baseline
src/cli/config.rs::enum::PreviousBranchAction	missing	-	baseline
src/cli/config.rs::enum::StateCommand	missing	-	baseline
src/cli/config.rs::enum::VarsAction	missing	-	baseline
src/cli/hook.rs::const::HOOK_TYPE_NAMES	missing	-	baseline
src/cli/hook.rs::enum::HookCommand	missing	-	baseline
src/cli/hook.rs::func::parse	missing	-	baseline
src/cli/hook.rs::func::parse_hook_type	missing	-	baseline
src/cli/hook.rs::method::HookOptions.parse	missing	-	baseline
src/cli/hook.rs::struct::HookOptions	missing	-	baseline
src/cli/list.rs::enum::ListSubcommand	missing	-	baseline
src/cli/step.rs::enum::StepCommand	missing	-	baseline
src/cli/step.rs::struct::CommitArgs	missing	-	baseline
src/cli/step.rs::struct::SquashArgs	missing	-	baseline
src/command_log.rs::func::init	missing	-	baseline
src/command_log.rs::func::log_command	missing	-	baseline
src/commands/alias.rs::func::alias_names_for_suggestions	missing	-	baseline
